labels,Comp,BRS,BJP,CONGRESS,SHIVSENA,YSR,DMK,TRINAMOOL,BJD
ABH,ABHINANDANSTOCKBROKINGPVTLTD,10,0,22,0,0,0,4,12
APL,AUROBINDO PHARMA LIMITED,15,36,0,0,0,0,0,0
ATFPL,AVEES TRADING FINANCE PVT LTD,0,1,53,0,0,0,26,0
BAL,BHARTI AIRTEL LIMITED,0,183,0,0,0,0,0,0
BGSCTPLT,B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,0,30,2,85,0,0,0,0
BIR,BIRLACARBONINDIAPRIVATELIMITED,0,105,0,0,0,0,0,0
CGWPL,CHENNAI GREEN WOODS PRIVATE LIMITED,50,0,15,0,0,0,40,0
CLPL,CASTLE LIQUORS PRIVATE LIMITED,0,0,0,0,0,0,68,0
CPL,CRESCENT POWER LTD,0,10,0,0,0,0,42,0
DCDL,DLF COMMERCIAL DEVELOPERS LIMITED,0,130,0,0,0,0,0,0
DIL,DHARIWAL INFRASTRUCTURE LIMITED,0,25,0,0,0,0,90,0
DLL,DR.REDDY'S LABORATORIES LTD,32,24,14,0,0,0,0,0
DSLL,DIVI S LABORATORIES LIMITED,20,30,5,0,0,0,0,0
EMAIL,ESSEL MINING AND INDS LTD,0,59,0,0,0,0,0,179
FGAHSP,FUTURE GAMING AND HOTEL SERVICES PR,0,100,50,0,154,503,542,0
HEL,HALDIA ENERGY LIMITED,0,99,15,0,0,0,281,0
HEPL,HIMALAYAN ENDEAVOUR PVT LTD,0,1,2,0,5,0,58,0
IAIL,IFB AGRO INDUSTRIES LIMITED,0,0,5,0,0,0,42,9
IFPL,INFINA FINANCE PRIVATE LIMITED,0,60,0,0,0,0,0,0
ITL,ITC LIMITED,18,0,0,0,0,0,28,0
JKCL,J K CEMENT LTD.,0,64,50,0,0,0,0,0
JSAPL,JINDAL STEEL AND POWER LIMITED,0,3,20,0,0,0,0,100
KCAPPL,KAMNA CREDITS AND PROMOTORS PVT LTD,7,1,16,0,0,0,24,5
KFIL,KEVENTER FOODPARK INFRA LIMITED,0,149,20,0,0,0,20,0
KRPL,KEYSTONE REALTORS PVT LTD,0,30,6,13,0,0,0,0
LIBP,LAXMI INDUSTRIAL BOTTLING PLAN,0,5,0,0,8,0,50,0
MAL,MADANLAL LTD.,0,189,10,0,0,0,0,0
MBIPL,MONALISA BOTTLING INDUSTRIES PVT LTD,0,0,0,0,5,0,53,11
ME&IL,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,195,584,18,0,37,85,0,0
MEL,MKJ ENTERPRISES LIMITED,10,55,142,0,0,0,99,10
MRACSBP,M/S. RAMESH AGARWAL C S BOTTLING PL,0,0,0,0,0,0,75,0
MSNM,MS S N MOHANTY,0,0,0,0,0,0,0,45
NCL,NCC LIMITED,0,60,0,0,0,0,0,0
NECL,NAVAYUGA ENGINEERING COMPANY LIMITED,0,45,0,0,0,0,0,0
NPL,NATCO PHARMA LTD,10,13,19,0,3,0,0,0
PCL,PCBL LIMITED,5,0,0,0,0,0,40,0
PEL,PATEL ENGINEERING LTD.,0,60,0,0,0,0,0,0
PSPL,PRARAMBH SECURITIES PVT LTDPROPRIET,0,33,5,2,0,0,38,0
QWI,QWIKSUPPLYCHAINPRIVATELIMITED,0,375,0,25,0,0,0,0
RCL,RASHMI CEMENT LTD,0,0,0,0,0,0,23,45
RSPL,RUNGTA SONS P LTD,0,50,0,0,0,0,0,50
SJS&PL,SHRI JAGANNATH STEELS & POWER LTD,0,5,0,0,0,0,0,41
SSIASIP,SRI SIDDHARTH INFRATECH AND SERVICES I P,0,50,10,0,0,0,0,0
TEPL,TRANSWAYS EXIM PRIVATE LIMITED,0,0,80,0,0,0,130,0
TPL,TORRENT POWER LIMITED,0,175,17,3,0,0,0,0
TPHL,TORRENT PHARMACEUTICALS LIMITED,0,38,5,0,0,0,0,0
TRCL,THE RAMCO CEMENTS LIMITED,0,25,0,0,24,0,0,0
UAIL,UTKAL ALUMINA INTERNATIONAL LIMITED,0,75,1,0,0,0,0,60
UCL,UM CABLES LIMITED,0,40,5,0,0,0,0,0
UPIL,UNITED PHOSPHORUS INDIA LLP,0,50,0,0,0,0,0,0
